word,predicate,preferred_term
anthem,http://dbpedia.org/ontology/anthem,
anthem,http://dbpedia.org/property/nationalAnthem,
architect,http://dbpedia.org/ontology/architect,
area,http://dbpedia.org/property/areaKm,
area,http://dbpedia.org/ontology/areaTotal,
area code,http://dbpedia.org/ontology/areaCode,
author,http://dbpedia.org/ontology/author,
birthday,,born
born,http://dbpedia.org/property/dateOfBirth,
born,http://dbpedia.org/ontology/birthPlace,
born,http://dbpedia.org/property/placeOfBirth,
buried,http://dbpedia.org/ontology/restingPlace,
capital,http://dbpedia.org/ontology/capital,
capital,http://dbpedia.org/property/capital,
CEO,http://dbpedia.org/property/keyPeople,
chair,http://dbpedia.org/property/keyPeople,
chairman,http://dbpedia.org/property/keyPeople,
chairperson,http://dbpedia.org/property/keyPeople,
chairwoman,http://dbpedia.org/property/keyPeople,
child,http://dbpedia.org/ontology/child,
college,http://dbpedia.org/ontology/education,
college,http://dbpedia.org/ontology/almaMater,
cost,http://dbpedia.org/property/budget,
created,http://dbpedia.org/ontology/architect,
created,http://dbpedia.org/ontology/author,
created,http://dbpedia.org/ontology/designer,
created,http://dbpedia.org/ontology/director,
created,http://dbpedia.org/property/creator,
currency,http://dbpedia.org/ontology/currency,
daughter,,child
designed,http://dbpedia.org/ontology/designer,
designed,http://dbpedia.org/ontology/architect,
designer,,designed
die,http://dbpedia.org/ontology/deathPlace,
die,http://dbpedia.org/ontology/deathDate,
die,http://dbpedia.org/ontology/deathCause,
die,http://dbpedia.org/property/dateOfDeath,
die,http://dbpedia.org/property/deathPlace,
die,http://dbpedia.org/property/placeOfDeath,
die from,http://dbpedia.org/ontology/deathCause,
directed,http://dbpedia.org/ontology/director,
employer,http://dbpedia.org/ontology/employer,
entombed,,buried
father,,parent
founded,http://dbpedia.org/ontology/foundingDate,
founded,http://dbpedia.org/ontology/foundingDate,
founded,http://dbpedia.org/ontology/foundedBy,
founded,http://dbpedia.org/ontology/foundationPlace,
founder,http://dbpedia.org/ontology/foundedBy,
from,http://dbpedia.org/ontology/hometown,
from,http://dbpedia.org/property/birthPlace,
from,http://dbpedia.org/property/homeTown,
from,http://dbpedia.org/property/placeOfBirth,
from,http://dbpedia.org/ontology/stateOfOrigin,
gdp,http://dbpedia.org/property/gdpNominal,
governor,http://dbpedia.org/property/governor,
heavy,,weight
high,http://dbpedia.org/ontology/elevation,
high,http://dbpedia.org/property/elevationM,
highest place,http://dbpedia.org/ontology/highestPlace,
highest place,http://dbpedia.org/property/highestpoint,
highest point,http://dbpedia.org/property/highestpoint,
highest point,http://dbpedia.org/property/highestelev,
homepage,http://xmlns.com/foaf/0.1/homepage,
homepage,http://dbpedia.org/property/website,
husband,,spouse
income,http://dbpedia.org/property/operatingIncome,
join,http://dbpedia.org/property/accessioneudate,
joined,,join
landmass,,area
lanugage,http://dbpedia.org/ontology/officialLanguage,
largest city,http://dbpedia.org/ontology/largestCity,
largest city,http://dbpedia.org/property/largestCity,
leader,http://dbpedia.org/ontology/leaderName,
leader,http://dbpedia.org/property/keyPeople,
leader,http://dbpedia.org/property/governor,
length,http://dbpedia.org/property/length,
length,http://dbpedia.org/ontology/runtime,
located,,where
location,,where
long,http://dbpedia.org/property/length,
long,http://dbpedia.org/ontology/runtime,
lowest place,http://dbpedia.org/ontology/lowestPlace,
lowest point,http://dbpedia.org/property/lowestpoint,
lowest point,http://dbpedia.org/property/lowestelev,
mascot,http://dbpedia.org/property/mascot,
mayor,http://dbpedia.org/ontology/leaderName,
money,,currency
mother,,parent
nationality,http://dbpedia.org/ontology/nationality,
official lanuage,http://dbpedia.org/ontology/officialLanguage,
parent,http://dbpedia.org/ontology/parent,
parent,http://dbpedia.org/property/parents,
population,http://dbpedia.org/property/populationCensus,
population,http://dbpedia.org/property/populationEstimate,
president,http://dbpedia.org/ontology/leaderName,
president,http://dbpedia.org/property/keyPeople,
president,http://dbpedia.org/property/president,
prime minster,http://dbpedia.org/ontology/leaderName,
religion,<http://dbpedia.org/ontology/religion>,
revenue,http://dbpedia.org/property/revenue,
rich,,rich
school,http://dbpedia.org/ontology/education,
school,http://dbpedia.org/ontology/almaMater,
son,,child
spouse,http://dbpedia.org/property/spouse,
spouse,http://dbpedia.org/ontology/spouse,
starred,http://dbpedia.org/ontology/starring,
start,http://dbpedia.org/ontology/sourceCountry,
successor,http://dbpedia.org/ontology/successor,
tomb,,buried
website,,homepage
weight,http://dbpedia.org/property/weight,
when,http://dbpedia.org/ontology/date,
where,http://dbpedia.org/ontology/place,
where,http://dbpedia.org/property/place,
where,http://dbpedia.org/property/range,
where,http://www.georss.org/georss/point,
where,http://dbpedia.org/ontology/city,
where,http://dbpedia.org/ontology/state,
where ,http://dbpedia.org/ontology/locatedInArea,
where ,http://dbpedia.org/property/location,
where ,http://dbpedia.org/property/locationCountry,
width,http://dbpedia.org/ontology/width,
wife,,spouse
worth,http://dbpedia.org/ontology/equity,
worth,http://dbpedia.org/ontology/networth,
worth,http://dbpedia.org/property/netWorth,

